position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	4S8d14HvHb70ImctNgVzQQ	I Love It (& Lil Pump)	Kanye West	1607787	1	4	1	0
2	0d2iYfpKoM0QCKvcLCkBao	Eastside (with Halsey & Khalid)	benny blanco	1587492	2	12	1	0
3	4ofwffwvvnbSkrMSCKQDaC	Shotgun	George Ezra	1376905	4	11	3	1
4	3EPXxR3ImUwfayaurPi3cm	Be Alright	Dean Lewis	1372601	3	14	1	-1
5	2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello	1332414	6	7	3	1
6	4T3fNx3CgwDRRYgmFCbD4J	Better	Khalid	1238638	7	3	6	1
7	0Dn40gxVCMo5TkgS8Ik18Q	Falling Down - Bonus Track	Lil Peep	1234615	5	3	5	-2
8	5N5k9nd479b1xpDZ4usjrg	Promises (with Sam Smith)	Calvin Harris	1076603	8	7	5	0
9	0E9ZjEAyAwOXZ7wJC0PD33	In My Mind	Dynoro	1042008	10	11	9	1
10	15kQGEy89K8deJcZVFEn0N	This Feeling (feat. Kelsea Ballerini)	The Chainsmokers	1016309	27	2	10	17
11	3u1S1OmAUhx5DRlLrXqyp3	Rise	Jonas Blue	875010	12	17	10	1
12	1rqqCSm0Qe4I9rUvWncaom	High Hopes	Panic! At The Disco	858769	11	15	9	-1
13	5N4erncE7kuUccm7zEmwzk	Electricity (with Dua Lipa)	Silk City	848838	16	4	9	3
14	7fa9MBXhVfQ8P8Df9OEbD8	Girls Like You (feat. Cardi B)	Maroon 5	800662	14	16	3	0
15	60SdxE8apGAxMiRrpbmLY0	Lucky You (feat. Joyner Lucas)	Eminem	786742	9	5	3	-6
16	2G7V7zsVDxg1yRsu7Ew9RJ	In My Feelings	Drake	782739	13	11	1	-3
17	5WvAo7DNuPRmk4APhdPzi8	No Brainer	DJ Khaled	779341	15	10	4	-2
18	2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	Travis Scott	766513	17	9	7	-1
19	2iUXsYOEPhVqEBwsqP70rE	Youngblood	5 Seconds of Summer	750182	19	16	1	0
20	1jo3TwNGCXfNdB5uba3ZVv	Killshot	Eminem	693002	20	2	20	0
21	4w8niZpiMy6qz1mntFA5uM	Taki Taki (with Selena Gomez, Ozuna & Cardi B)	DJ Snake	680797	nan	1	21	new
22	4VUwkH455At9kENOfzTqmF	Beautiful (feat. Camila Cabello)	Bazzi	678775	22	9	17	0
23	0s3nnoMeVWz3989MkNQiRf	Lucid Dreams	Juice WRLD	674188	21	12	7	-2
24	5IaHrVsrferBYDm0bDyABy	Taste (feat. Offset)	Tyga	664436	23	20	5	-1
25	4kWO6O1BUXcZmaxitpVUwp	Jackie Chan	Tiësto	653327	24	20	10	-1
26	4OafepJy2teCjYJbvFE60J	breathin	Ariana Grande	643702	25	7	7	-1
27	7K7MUBCnzgBAvMVW2RTWNs	Body (feat. brando)	Loud Luxury	622227	31	9	27	4
28	3nc420PXjTdBV5TN0gCFkS	Ocean (feat. Khalid)	Martin Garrix	615760	26	16	8	-2
29	6jreFSOTUAViWjKyzOC4Kg	REMEDY	Alesso	604882	18	5	18	-11
30	7ycWLEP1GsNjVvcjawXz3z	Praise The Lord (Da Shine) (feat. Skepta)	A$AP Rocky	580784	37	19	28	7
31	7dt6x5M1jzdTEt8oCbisTK	Better Now	Post Malone	579397	32	23	1	1
32	3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	579372	29	29	3	-3
33	083Qf6hn6sFL6xiOHlZUyn	I'll Be There	Jess Glynne	559548	28	21	23	-5
34	3BZkEOJwKUYRlkLWZB1izC	Fire	Peking Duk	539188	36	21	16	2
35	4E2s2lCNKxbWJMwHPMzOfq	Never Ever (feat. Sarah)	The Rubens	538528	33	14	23	-2
36	5Xn4IyTtW6FUGIUyWjbUHG	Goodbye (feat. Nicki Minaj & Willy William)	Jason Derulo	517132	34	6	34	-2
37	0dbTQYW3Ad1FTzIA9t90E8	Mona Lisa (feat. Kendrick Lamar)	Lil Wayne	508757	nan	1	37	new
38	4keoy2fqgwGnbWlm3ZVZFa	Happy Now	Zedd	505630	30	11	25	-8
39	2E124GmJRnBJuXbTb4cPUB	FEFE (feat. Nicki Minaj & Murda Beatz)	6ix9ine	502256	35	11	8	-4
40	0u2P5u6lvoDfwTYjAADbn4	lovely (with Khalid)	Billie Eilish	497775	40	24	5	0
