position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	2427584	1	6	1	0
2	1a5Yu5L18qNxVhXx38njON	Hear Me Now	Alok	2128990	2	7	1	0
3	6m2LNopVJKsvBB9l7Z1rwn	Olha a Explosão	MC Kevinho	2091230	3	7	3	0
4	6520aj0B4FSKGVuKNsOCOi	Chained To The Rhythm	Katy Perry	1891826	nan	1	4	new
5	257tme6AhneIKAqVF1HTH4	Loka	Simone & Simaria	1677856	5	6	4	0
6	0u8aj0c4IxeVSLTUuuq9V5	Você Partiu Meu Coração	Nego do Borel	1606689	6	5	6	0
7	0EPxmvsG1BY5td4aTOkWBF	Deu Onda	MC G15	1596414	4	7	1	-3
8	4FHw39Ke6pVt5tNKvLr4r3	Vidinha de Balada - Ao Vivo	Henrique & Juliano	1458537	27	2	8	19
9	2d3TbSkAscvT3QRQalq6uT	Te Assumi Pro Brasil - Ao Vivo	Matheus & Kauan	1368045	7	7	6	-2
10	3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN	1349070	14	7	10	4
11	45wqPwIH4A5cr2IyyD4WKf	Eu Sei de Cor - Ao Vivo | Acústico	Marília Mendonça	1223289	8	7	4	-3
12	5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd	1132509	9	7	6	-3
13	5SnQDj5REQVvAdSlhqkEcE	Malbec (Part. Dennis Dj) - Ao Vivo	Henrique & Diego	1091221	12	7	12	-1
14	2CW04trIoYMbroZWDzPAjs	Medo Bobo - Ao Vivo	Maiara & Maraisa	1090290	10	7	5	-4
15	7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers	1023555	11	7	3	-4
16	6zCqeUUqLb2CapBmVwAHll	Meu Coração Deu PT - Ao Vivo	Wesley Safadão	1022356	15	7	7	-1
