position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	2rPE9A1vEgShuZxxzR2tZH	thank u, next	Ariana Grande	1429851	1	7	1	0
2	2IRZnDFmlqMuOrYOLnZZyc	Going Bad (feat. Drake)	Meek Mill	1369363	2	3	2	0
3	3KkXRkHbMCARz0aVfEt68P	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone	1321204	nan	1	3	new
4	0FZ4Dmg8jJJAPJnvBIzD9z	ZEZE (feat. Travis Scott & Offset)	Kodak Black	1190905	nan	1	4	new
5	2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	Travis Scott	1181086	3	20	2	-2
6	0bYg9bo50gSsH3LtXe2SQn	All I Want for Christmas Is You	Mariah Carey	1081598	7	14	2	1
7	5p7ujcrUXASCNwRaWNHR1C	Without Me	Halsey	1066488	5	11	4	-2
8	0todbbT9g5uQGbeFCiBf2F	imagine	Ariana Grande	965040	nan	1	8	new
9	1xzBco0xcoJEDXktl7Jxrr	Mo Bamba	Sheck Wes	930297	8	11	4	-1
10	78QR3Wp35dqAhFEc2qAGjE	Drip Too Hard (Lil Baby & Gunna)	Lil Baby	888215	12	11	4	2
11	2FRnf9qhLbvw8fu4IBXx78	Last Christmas	Wham!	819031	18	12	5	7
12	2EjXfH91m7f8HiJN1yQg97	Rockin' Around The Christmas Tree	Brenda Lee	815634	14	3	12	2
13	7vQbuQcyTflfCIOu3Uzzya	Jingle Bell Rock	Bobby Helms	785347	16	5	13	3
14	0lizgQ7Qw35od7CYaoMBZb	Santa Tell Me	Ariana Grande	782806	27	6	14	13
15	5hslUAKq9I9CG2bAulFkHN	It's the Most Wonderful Time of the Year	Andy Williams	771930	19	11	9	4
16	0lLdorYw7lVrJydTINhWdI	It's Beginning to Look a Lot like Christmas	Michael Bublé	767064	20	12	16	4
17	6Gy7rXB6Ku5vIWC7WGWsl3	KIKA	6ix9ine	763017	11	4	3	-6
18	2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello	750687	13	18	2	-5
19	0247StOpd3AkeBQzANX4Zf	Do They Know It's Christmas? - 1984 Version	Band Aid	744403	23	5	19	4
20	2LskIZrCeLxRvCiGP8gxlh	Arms Around You (feat. Maluma & Swae Lee)	XXXTENTACION	720843	17	8	3	-3
21	7xapw9Oy21WpfEcib2ErSA	Mistletoe	Justin Bieber	688387	24	6	21	3
22	6zeeWid2sgw4lap2jV61PZ	Better	Khalid	674900	21	8	10	-1
23	285pBltuF7vW8TeWk8hdRR	Lucid Dreams	Juice WRLD	659479	22	2	22	-1
24	14mHfNsSHN0FbLftyjrV9g	Leave Me Alone	Flipp Dinero	633950	36	16	24	12
25	7FGq80cy8juXBCD2nrqdWU	Eastside (with Halsey & Khalid)	benny blanco	630568	26	2	25	1
26	22An65gG31JLf9n18qjdhZ	BAD!	XXXTENTACION	627559	9	2	9	-17
27	7inXu0Eaeg02VsM8kHNvzM	Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)	Frank Sinatra	620099	30	10	22	3
28	116H0KvKr2Zl4RPuVBruDO	MIA (feat. Drake)	Bad Bunny	612757	29	10	2	1
29	7dt6x5M1jzdTEt8oCbisTK	Better Now	Post Malone	607595	28	34	1	-1
30	7pdF27mSDuPWhppnHAmWHa	whoa (mind in awe)	XXXTENTACION	606754	10	2	10	-20
31	0TlLq3lA83rQOYtrqBqSct	Nonstop	Drake	602759	33	22	6	2
32	65Q2mv3UlVi9eO70OpsmSe	A Holly Jolly Christmas - Single Version	Burl Ives	601300	35	8	24	3
33	4so0Wek9Ig1p6CRCHuINwW	White Christmas	Bing Crosby	587582	41	10	21	8
34	3zJw3rugfpVrmBeDDnUYzy	Happy Xmas (War Is Over) - Remastered	John Lennon	573066	49	8	34	15
35	4w8niZpiMy6qz1mntFA5uM	Taki Taki (with Selena Gomez, Ozuna & Cardi B)	DJ Snake	564242	38	12	6	3
36	4m5Cd9kAbIxg6t9sMrQWtk	TIC TOC	6ix9ine	560840	15	4	6	-21
37	7Lbxvt42JsNSKVCaN63qhD	Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version	Paul McCartney	560817	53	4	37	16
38	1rqqCSm0Qe4I9rUvWncaom	High Hopes	Panic! At The Disco	560744	46	26	38	8
39	4PS1e8f2LvuTFgUs1Cn3ON	The Christmas Song (Merry Christmas To You)	Nat King Cole	558383	48	4	39	9
40	14JzyD6FlBD5z0wV5P07YI	when the party's over	Billie Eilish	545435	37	10	13	-3
41	2VxeLyX666F8uXCJ0dZF8B	Shallow	Lady Gaga	537725	34	11	10	-7
42	6tjituizSxwSmBB5vtgHZE	Holly Jolly Christmas	Michael Bublé	536444	55	9	42	13
43	3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	528851	32	40	1	-11
44	5kfNriitmkNE8mUbZ7gbq8	Saturday Nights	Khalid	526164	52	9	29	8
45	04MLEeAMuV9IlHEsD8vF6A	No Stylist	French Montana	524840	47	13	4	2
46	5IaHrVsrferBYDm0bDyABy	Taste (feat. Offset)	Tyga	518513	45	31	2	-1
47	27rdGxbavYJeBphck5MZAF	Nothing Breaks Like a Heart (feat. Miley Cyrus)	Mark Ronson	515300	39	3	30	-8
48	2G1tXoGBaEMJ7FKGnkf6ud	Wake Up in the Sky	Gucci Mane	509007	42	2	42	-6
49	2iUXsYOEPhVqEBwsqP70rE	Youngblood	5 Seconds of Summer	500226	43	27	14	-6
50	4QIyEq7TcTdAcxjI2AFlAK	FEFE	6ix9ine	468736	44	2	44	-6
51	3QiAAp20rPC3dcAtKtMaqQ	Blue Christmas	Elvis Presley	467706	64	8	30	13
52	4KX8vXbouybtUptEyYxtIk	MoshPit (feat. Juice WRLD)	Kodak Black	462264	nan	1	52	new
53	7taXf5odg9xCAZERYfyOkS	Feliz Navidad	José Feliciano	461913	68	8	37	15
54	2pXpURmn6zC5ZYDMms6fwa	It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)	Perry Como	451977	74	2	54	20
55	5wujBwqG7INdStqGd4tRMX	Armed And Dangerous	Juice WRLD	448905	58	2	55	3
56	0JP9xo3adEtGSdUEISiszL	Moonlight	XXXTENTACION	448875	50	40	5	-6
57	1oJ8EDr2pv94IvSd6ZmDgo	MAMA	6ix9ine	443596	40	4	13	-17
58	3nAp4IvdMPPWEH9uuXFFV5	Underneath the Tree	Kelly Clarkson	433026	88	6	58	30
59	1fewSx2d5KIZ04wsooEBOz	Space Cadet (feat. Gunna)	Metro Boomin	433005	76	5	21	17
60	2G7V7zsVDxg1yRsu7Ew9RJ	In My Feelings	Drake	432804	60	22	1	0
61	5Ber68jZ7ytegr2UISEdb7	Santa Claus Is Coming to Town	Michael Bublé	430713	72	9	61	11
