position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	1mdJ39D1lrR3aWIOhgeNaE	Wir ticken	Capital Bra	7213733	nan	1	1	new
2	200cTjC6si5Xz9af2QeHi2	Wolke 10	MERO	6847123	nan	1	2	new
3	5NsCv3I7o0f6vSQScG01f1	Pass auf wen du liebst	Ufo361	5274698	nan	1	3	new
4	3UDsmMZsEMsvM82OcdqJWu	Alleen	KC Rebell	4498606	nan	1	4	new
5	3YxCKq3YPnTekAofhaHABZ	Jay Jay	MERO	4378918	nan	1	5	new
6	09Yoq7UUSqh9aJSBoRMDfA	Wie Buffon	MERO	3095825	nan	1	6	new
7	2GxHx0bbc0BK7Z0ChMJUtO	Träume werden wahr	MERO	3075546	nan	1	7	new
8	5iIgIxtMNeogKaFUfvuAbs	Gib Ihm	Shirin David	2955224	2	5	1	-6
9	0dmrz4V5kiezQAqQ3VqGob	Hobby Hobby	MERO	2797851	nan	1	9	new
10	4fgV3PU9JBlpJu0w4Yhr76	Hops	MERO	2726319	nan	1	10	new
11	4BD9yUEFI07WaDJ381DDMq	DNA	KC Rebell	2436357	3	5	1	-8
12	1uNzKXVNwq7jwV0rhjXqLB	Baller los	MERO	2371432	nan	1	12	new
13	6VMAFT0zfide2Jg8MVZAPz	Capital Bra je m'appelle	Capital Bra	2303139	5	4	2	-8
14	43o47EpZOuCV6YYUNcxxJl	Gib ihn	MERO	2279333	nan	1	14	new
15	0LxEGZDLJWGx9x0wQUhyof	Mill'n	MERO	2227860	nan	1	15	new
16	3TqjrBoN0waDh5nFINL2R8	Kampfgeist 4	Kontra K	2130452	nan	1	16	new
17	7r55d7IhAj5UGKiYbXBwRP	Prinzessa	Capital Bra	2129415	8	8	1	-9
18	2YICs34Vbs95OKhn5LXeFO	Auf dem Weg	MERO	2051583	nan	1	18	new
19	04hgIDWsvtlmAOSomsEYRG	Enes Meral	MERO	2024297	nan	1	19	new
20	5w9c2J52mkdntKOmRLeM2m	Con Calma	Daddy Yankee	1889859	14	6	14	-6
21	3gs4lX2JSAFc8v8piogE3i	Fragen	Azet	1851296	6	2	6	-15
22	4AgK0CwpwcekXVdAoYB2VO	Ferrari	Eno	1812526	7	6	1	-15
23	25sgk305KZfyuqVBQIahim	Sweet but Psycho	Ava Max	1750123	10	24	2	-13
24	3Ol2xnObFdKV9pmRD2t9x8	Look Back at It	A Boogie Wit da Hoodie	1741424	13	11	13	-11
25	0qzX2dAs1otoAABKNHUwRb	Kamehameha	Azet	1681206	4	2	4	-21
26	6ocbgoVGwYJhOv1GgI9NsF	7 rings	Ariana Grande	1646169	11	6	5	-15
27	0uLCRADshP7njj8Eqw6Jxv	Intro	MERO	1608880	nan	1	27	new
28	7KPGeiXWDsGEvFK62wzU8E	Benzema	Capital Bra	1555569	17	13	1	-11
29	5WHTFyqSii0lmT9R21abT8	Don't Call Me Up	Mabel	1499363	34	6	29	5
30	6MWtB6iiXyIwun0YzU6DFP	Wow.	Post Malone	1488809	15	13	12	-15
31	5itOtNx0WxtJmi1TQ3RuRd	Giant (with Rag'n'Bone Man)	Calvin Harris	1461940	21	10	19	-10
32	1rCcsYnmqbMYdkG7kS9GC5	Speechless (feat. Erika Sirola)	Robin Schulz	1415058	20	18	15	-12
33	1194zYf7UfSXP4omxVTmPa	Yapma	C ARMA	1371997	27	8	27	-6
