position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	3Aq1SJ1hWlfazx8IIC6u1D	Ma belle	Moha La Squale	1894610	1	4	1	0
2	7j56bK7gq6iV7zsD6lbP4J	Elle est bonne sa mère	Vegedream	1552951	3	7	1	1
3	6osaMSJh9NguagEDQcZaKx	Loco Contigo (feat. J. Balvin & Tyga)	DJ Snake	1523037	2	5	1	-1
4	4VzalpjiHHK5cKSgrZuNjg	Nique la BAC	Lorenzo	1521657	nan	1	4	new
5	6v3KW9xbzN5yKLt9YKDYA2	Señorita	Shawn Mendes	1504221	4	5	3	-1
6	7C7GtWZmyicqjBDbAWPsCp	Tricheur	Nekfeu	1317581	6	10	1	0
7	55mCsKCo4bPuYtZvHppp8z	Médicament	Niska	1202354	5	21	1	-2
8	2YpeDb67231RjR0MgVLzsG	Old Town Road - Remix	Lil Nas X	1173522	8	5	4	0
9	1r7Uste80NvDFq2ejM2K5D	Damdamdeo	Lorenzo	1133206	nan	1	9	new
10	5Q9gwUMjyhkgrQCB3EzIEZ	Problèmes	PLK	1082395	7	6	7	-3
11	2j3OKdwiMwLQUXHYJ5v1y8	Toujours plus	Lorenzo	1056317	nan	1	11	new
12	2WZ09SXfgwAdBXB0KYK6ec	Power Rangers	Lorenzo	1004586	nan	1	12	new
13	2On7uB8PN8JJmBNsms8unQ	Compliqué	Dadju	996984	9	9	9	-4
14	3kxl1E1Y43M4vgckXfrSgk	Four	Koba LaD	935362	nan	1	14	new
15	5SNfvgi4TUwx4Si0lFn3G2	Soleil	Roméo Elvis	931099	11	20	11	-4
16	65hdAdd1skq94ecWH4vfJI	Bitch (feat. Vald)	Lefa	924688	10	7	10	-6
17	10iesoGb4mCYTcur1QfdO9	JCVD	Jul	923775	12	7	7	-5
18	5c2HadbVTsMKjja4gohEFI	Maman ne le sait pas (feat. Niska)	Ninho	884733	13	23	2	-5
19	28fP6qcMGPfYOjrx8AOWFn	RR 9.1	Koba LaD	872018	16	19	2	-3
20	3aleQrFycCdgq6DpxEPBKn	MBK Rocket	Lorenzo	861840	nan	1	20	new
21	0G0ZyEQyc3IBcRnYCvtTwb	Tes parents (feat. Ninho)	Leto	856317	14	8	14	-7
22	1jkQ86kN8w0KKUV2bHJcfN	Kekchose	Lorenzo	851051	nan	1	22	new
23	5WcW7qcdyPgCrteSgFYSxa	Nous deux	Lorenzo	843236	nan	1	23	new
24	5vLEmh5EolySKTvXsyWSOg	Hola Señorita	Maître Gims	842455	20	15	20	-4
25	40OMBMYRk5IQL6xCzGM0JA	Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)	Martin Garrix	812578	22	8	13	-3
26	1rgnBhdG2JDFTbYkYRZAku	Dance Monkey	Tones And I	812470	126	2	26	100
27	0Jh6iWjna1wk5le0Ahn7No	La vie qu'on mène	Ninho	808392	17	23	3	-10
28	2rJwZ2hpAm35mpqf5Ceuh9	Du lundi au lundi	Niska	801891	15	7	6	-13
29	2PYXOG6GdxF9sUIH2NfOAD	Dans l'univers	Nekfeu	783597	26	10	7	-3
30	3OD2mvxW9oxfcSZFm7Eb4B	Impec	Lorenzo	773630	nan	1	30	new
31	6atrzNHhWlXTolcIKAjSq2	L'odeur du charbon	Dosseh	762924	21	7	14	-10
32	7blCa3xM3E8sHOjMSOS6nk	Voyage auditif	Lorenzo	757237	nan	1	32	new
33	504JJmqZZnsfeWz8nKHKia	Sexto	Lorenzo	749422	nan	1	33	new
34	5dkSQ8ExtSaS5diqiQosOk	Cheum	Nekfeu	738166	50	10	9	16
35	2QpUWi6VSNOt2WyH5FIeLD	Pookie	Aya Nakamura	733674	23	43	8	-12
36	3at8iNHLzE5EizkFWoQzCK	Nana	Lorenzo	731594	nan	1	36	new
37	1I2R0JFkRH4c2BX0y7PMDA	Parler de quoi	Lorenzo	728789	nan	1	37	new
38	0hVXuCcriWRGvwMV1r5Yn9	I Don't Care (with Justin Bieber)	Ed Sheeran	721159	18	7	8	-20
39	5lCxlSBFyP5g4EhVypAoOu	Au DD	PNL	705090	31	21	1	-8
40	1DFD5Fotzgn6yYXkYsKiGs	Piece Of Your Heart	MEDUZA	699595	19	15	16	-21
41	2AFEY781u68sON4BTSPJz4	Passa passa (#BooskaMechant)	Niska	690505	24	4	6	-17
42	79KFxE3XWq2kf3eB3ALzAL	Pumpidup	Lorenzo	669373	nan	1	42	new
