position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	1HfMVBKM75vxSfsQ5VefZ5	Lose You To Love Me	Selena Gomez	47227738	16	2	1	15
2	1rgnBhdG2JDFTbYkYRZAku	Dance Monkey	Tones And I	46086874	1	15	1	-1
3	2b8fOow8UzyDFAE27YhOZM	Memories	Maroon 5	31572344	4	6	3	1
4	2QpGZOhTCHHiKmpSO9FW4h	Follow God	Kanye West	31273064	nan	1	4	new
5	21jGcNKet2qwijlDFuPiPb	Circles	Post Malone	30555030	3	7	2	-2
6	3eekarcy7kvN4yt5ZFzltW	HIGHEST IN THE ROOM	Travis Scott	29392489	2	4	1	-4
7	6v3KW9xbzN5yKLt9YKDYA2	Señorita	Shawn Mendes	26364020	5	14	1	-2
8	7qEHsqek33rTcFNT9PFqLf	Someone You Loved	Lewis Capaldi	24962682	6	24	4	-2
9	4yI3HpbSFSgFZtJP2kDe5m	Look At Her Now	Selena Gomez	21790923	nan	1	9	new
10	7aiClxsDWFRQ0Kzk5KI5ku	hot girl bummer	blackbear	20814917	10	10	10	0
11	2wrJq5XKLnmhRXHIAf9xBa	10,000 Hours (with Justin Bieber)	Dan + Shay	18576307	8	4	5	-3
12	3JWiDGQX2eTlFvKj3Yssj3	Closed On Sunday	Kanye West	17782756	nan	1	12	new
13	70eFcWOvlMObDhURTqT4Fv	Beautiful People (feat. Khalid)	Ed Sheeran	17770785	9	16	3	-4
14	2SasoXZyv82yYgHiVOvxQn	On God	Kanye West	17704688	nan	1	14	new
15	2plLJpUcYPFrl1sW2pMG63	Lights Up	Harry Styles	17687233	7	3	5	-8
16	39JRmdKFka1Oe09FoOCPI4	Selah	Kanye West	17475888	nan	1	16	new
17	2tnVG71enUj33Ic2nFN6kZ	Ride It	Regard	17371573	17	8	17	0
18	6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	Sam Smith	17160288	11	15	7	-7
19	2ksOAxtIxY8yElEWw8RhgK	China	Anuel AA	16845661	13	15	2	-6
20	2Fxmhks0bxGSBdJ92vM42m	bad guy	Billie Eilish	16691570	15	31	1	-5
21	6cy3ki60hLwimwIje7tALf	RITMO (Bad Boys For Life)	Black Eyed Peas	16602393	54	3	21	33
22	51Fjme0JiitpyXKuyQiCDo	Lalala	Y2K	16503228	12	18	4	-10
23	24bnCCysWnbNRNUT4LpHcP	Everything We Need	Kanye West	16438027	nan	1	23	new
24	6Gg1gjgKi2AK4e0qzsR7sd	Bandit (with YoungBoy Never Broke Again)	Juice WRLD	16028259	14	4	14	-10
25	0oPOuDmmkVp3h6puekhs6P	Use This Gospel	Kanye West	14843190	nan	1	25	new
26	6vBdBCoOhKHiYDDOcorfNo	Goodbyes (Feat. Young Thug)	Post Malone	14334322	18	17	2	-8
27	0hVXuCcriWRGvwMV1r5Yn9	I Don't Care (with Justin Bieber)	Ed Sheeran	14068267	19	16	2	-8
28	7LzouaWGFCy4tkXDOOnEyM	Liar	Camila Cabello	13920735	22	8	22	-6
29	4vUmTMuQqjdnvlZmAH61Qk	South of the Border (feat. Camila Cabello & Cardi B)	Ed Sheeran	13428160	27	16	10	-2
30	0RiRZpuVRbi7oqRdSMwhQY	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone	13242148	21	7	14	-9
31	1WnqWQcWcuQbVzgE7ecfCY	Every Hour	Kanye West	12900186	nan	1	31	new
32	1iQDltZqI7BXnHrFy4Qo1k	Trampoline (with ZAYN)	SHAED	12849376	43	5	32	11
33	1lOe9qE0vR9zwWQAOk6CoO	Ransom	Lil Tecca	12795057	20	4	16	-13
34	6xRWoYwfwIKnT8bQGzKbxR	God Is	Kanye West	12735722	nan	1	34	new
35	454Epa1vrCGFddHXKyC1kb	Water	Kanye West	12604488	nan	1	35	new
36	07Oz5StQ7GRoygNLaXs2pd	Good as Hell (feat. Ariana Grande) - Remix	Lizzo	12495965	nan	1	36	new
37	3jbT1Y5MoPwEIpZndDDwVq	Adicto (with Anuel AA & Ozuna)	Tainy	12461725	24	10	24	-13
38	1000nHvUdawXuUHgBod4Wv	Panini	Lil Nas X	11904990	23	7	15	-15
39	0fea68AdmYNygeTGI4RC18	LA CANCIÓN	J Balvin	11842178	25	18	17	-14
40	2TH65lNHgvLxCKXM3apjxI	Callaita	Bad Bunny	11727722	28	22	7	-12
41	4R8BJggjosTswLxtkw8V7P	No Me Conoce - Remix	Jhay Cortez	11461442	29	23	20	-12
42	6V9fHiv84WlVTg7CSnIVY2	Graveyard	Halsey	11306406	32	7	31	-10
