position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	0sSG83UxY15ft1E2N9THYF	今夜このまま	Aimyon	252381	1	3	1	0
2	77lmDcPPyY6kK907gdgC6i	HANABI	Mr.Children	178197	2	26	1	0
3	4qZyuyqLoZ3CaH79rGvJFR	U.S.A.	DA PUMP	170169	3	22	1	0
4	4IouQaO9GkaHC7AtMErdSa	打上花火	DAOKO	160745	5	47	1	1
5	2r1T6xGTVaNAqBoPH4lZEE	Waste It On Me (feat. BTS)	Steve Aoki	157149	4	2	4	-1
6	0jWVUKsIoyo3zw64RaEWYg	マリーゴールド	Aimyon	151259	6	16	4	0
7	7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	145969	7	63	1	0
8	7CmWXD3w1xOO53AAO4LRVQ	愛をこめて花束を	Superfly	139801	12	63	6	4
9	7swIKcU4tFRk4iFJpi12Fg	小さな恋のうた	MONGOL800	133259	14	63	7	5
10	184XtKkzoAl83quIarUAJP	YES or YES	TWICE	129221	nan	1	10	new
11	59eluCMn0XbOWqeWQ91FTM	君はロックを聴かない	Aimyon	127568	10	40	5	-1
12	0ve9Tpz8Yw0I4eXhWsy21o	ワタリドリ	[Alexandros]	126361	13	63	7	1
13	2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello	126169	11	12	6	-2
14	3YO08EfyAkr3WEba4xmWkS	Ainokatachi (feat. HIDE (GReeeeN))	MISIA	120541	9	8	7	-5
15	4w8niZpiMy6qz1mntFA5uM	Taki Taki (with Selena Gomez, Ozuna & Cardi B)	DJ Snake	119270	15	6	6	0
16	0N8Xztr4pBHJ7V0moJWhbO	愛を伝えたいだとか	Aimyon	117352	19	39	16	3
17	2rPE9A1vEgShuZxxzR2tZH	thank u, next	Ariana Grande	116950	nan	1	17	new
18	13hvHEstJ4sNbzdroPrPI3	Kiss and Make Up	Dua Lipa	116250	8	3	8	-10
19	46gSY0U7ZZCmd7EuJuo15N	恋音と雨空	AAA	113812	16	63	7	-3
20	0YAMQSmHk6BSUGTYpaoqTJ	Wherever you are	ONE OK ROCK	112327	18	63	5	-2
21	6KBj27Bko8gh71gpx0PzIG	Change	ONE OK ROCK	109369	20	33	1	-1
22	0V2axJ946WH1vt9t5SGMLV	Story	AI	108004	21	52	19	-1
23	1x5sYLZiu9r5E43kMlt9f8	Symphony (feat. Zara Larsson)	Clean Bandit	107881	33	63	23	10
24	2gasr6aemUqZIBBN05EO03	My Boo	Shota Shimizu	104605	23	63	4	-1
25	2BgEsaKNfHUdlh97KmvFyo	2002	Anne-Marie	101098	34	13	9	9
26	4feDzcxtXRU8clyOluco5Y	どんなときも。	Noriyuki Makihara	99849	25	47	25	-1
27	7x2I2T56E162miRzBh2Rpw	STAY BY MY SIDE	TWICE	99511	17	3	17	-10
28	6ANQEKJui81dRMb6xD3XrO	愛唄	GReeeeN	99112	42	12	8	14
29	5Ek40FyMPprcvtyZDjqylX	What is Love?	TWICE	98992	37	18	25	8
30	1A6OTy97kk0mMdm78rHsm8	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone	98625	30	3	30	0
31	2qT1uLXPVPzGgFOx4jtEuo	no tears left to cry	Ariana Grande	97999	36	12	9	5
32	4IubwxgmXeZtDtYjTaT9gN	鱗(うろこ)	Motohiro Hata	96661	26	19	19	-6
33	4PqDkR6YM80Sy590Qsy6mm	ハナミズキ	Yo Hitoto	96603	43	48	23	10
34	22aZD7yaGYfhgCYazL4nbc	366日	HY	96486	48	42	26	14
35	42JrgapwGBuPHG9YKjR6dj	Tomorrow never knows	Mr.Children	96152	27	13	12	-8
36	70xcWRujaf34LOu0Vdubtp	innocent world	Mr.Children	95728	32	26	19	-4
37	0a3587n25Xhw098UeEbeJq	青と夏	Mrs. GREEN APPLE	95238	28	17	6	-9
