position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	7KXjTSCq5nL1LoYtL7XAwS	HUMBLE.	Kendrick Lamar	16113243	1	7	1	0
2	3DXncPQOG4VBw3QHh3S817	I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)	DJ Khaled	13613687	2	3	2	0
3	5CtI0qwDJkDQGwXD1H1cLb	Despacito - Remix	Luis Fonsi	13206807	3	5	3	0
4	2eMwDehkIC1j68U6FA3Eiq	XO TOUR Llif3	Lil Uzi Vert	11025523	4	8	3	0
5	3rOSwuTsUlJp0Pu0MkN8r8	Mask Off	Future	10170935	5	13	2	0
6	6HZILIRieu8S0iqY8kIKhj	DNA.	Kendrick Lamar	9372918	6	5	2	0
7	2habSXqcJGExM6JJyskY7O	Malibu	Miley Cyrus	7583727	nan	1	7	new
8	3a1lNhkSLSkpJE4MSHpDu9	Congratulations	Post Malone	7508797	11	20	8	3
9	5tz69p7tJuGPeMGwNTxYuV	1-800-273-8255	Logic	7432272	7	3	7	-2
10	7hDc8b7IXETo14hHIHdnhd	Passionfruit	Drake	6825325	10	9	1	0
11	0KKkJNfGyhkQ5aFogxQAPU	That's What I Like	Bruno Mars	6823322	9	20	3	-2
12	2EEeOnHehOozLq4aS0n6SL	iSpy (feat. Lil Yachty)	KYLE	6695509	8	20	2	-4
13	0dA2Mk56wEzDgegdC6R17g	Stay (with Alessia Cara)	Zedd	6488360	15	12	12	2
14	152lZdxL1OR0ZMW6KquMif	Location	Khalid	6383546	14	20	10	0
15	1F2HXIJrE2Xn81OzT2zZvW	Unforgettable	French Montana	6295429	16	6	15	1
16	7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	6137361	13	19	1	-3
17	6PGoSes0D9eUDeeAafB2As	LOVE. FEAT. ZACARI.	Kendrick Lamar	6028446	12	5	5	-5
18	2bjwRfXMk4uRgOD9IBYl9h	Portland	Drake	5541955	17	9	2	-1
19	4Q3N4Ct4zCuIHuZ65E3BD4	Tunnel Vision	Kodak Black	5496838	18	13	5	-1
20	5Ohxk2dO5COHF1krpoPigN	Sign of the Times	Harry Styles	5302216	38	6	16	18
21	6gBFPUFcJLzWGx4lenP6h2	goosebumps	Travis Scott	5126317	24	20	21	3
22	1EaKU4dMbesXXd3BrLCtYG	ELEMENT.	Kendrick Lamar	5022376	19	5	3	-3
23	6SwRhMLwNqEi6alNPVG00n	LOYALTY. FEAT. RIHANNA.	Kendrick Lamar	4982206	20	5	4	-3
24	7tr2za8SQg2CI8EDgrdtNl	Slide (feat. Frank Ocean & Migos)	Calvin Harris	4972922	21	12	9	-3
25	3eR23VReFzcdmS7TYCrhCe	It Ain't Me (with Selena Gomez)	Kygo	4856001	23	13	3	-2
26	0lMbuWUpfTWhEmOKxppEau	Rollin (feat. Future & Khalid)	Calvin Harris	4821734	nan	1	26	new
27	6RUKPb4LETWmmr3iAEQktW	Something Just Like This	The Chainsmokers	4738325	22	13	2	-5
28	1sXUWdKx03aP9Gmzft58rt	Issues	Julia Michaels	4658603	25	18	11	-3
29	4iLqG9SeJSnt0cSPICSjxv	Attention	Charlie Puth	4572974	35	4	29	6
30	7mldq42yDuxiUNn08nvzHO	Body Like A Back Road	Sam Hunt	4548839	27	15	19	-3
31	6p8NuHm8uCGnn2Dtbtf7zE	Slippery (feat. Gucci Mane)	Migos	4389168	36	16	30	5
32	0Nhu3zSYbEz32IYiobV75e	Now Or Never	Halsey	4298528	30	6	29	-2
33	79cuOz3SPQTuFrp8WgftAu	There's Nothing Holdin' Me Back	Shawn Mendes	4243173	32	4	32	-1
34	6Q2FftbUG530lCtBI74bMH	Drowning (feat. Kodak Black)	A Boogie Wit da Hoodie	4225531	28	9	28	-6
35	4ARPvK8DHLwt4oX65ZAFMw	Look At Me!	XXXTENTACION	3998801	37	12	26	2
36	0SGkqnVQo9KPytSri1H6cF	Bounce Back	Big Sean	3995187	29	20	3	-7
37	4Km5HrUvYTaSUfiSGPJeQR	Bad and Boujee (feat. Lil Uzi Vert)	Migos	3992343	31	20	1	-6
38	1e1JKLEDKP7hEQzJfNAgPl	Magnolia	Playboi Carti	3937569	58	4	38	20
39	7KOlJ92bu51cltsD9KU5I7	T-Shirt	Migos	3833905	33	18	6	-6
40	2Gl0FzuLxflY6nPifJp5Dr	First Time	Kygo	3792164	40	3	40	0
41	3Q3myFA7q4Op95DOpHplaY	do re mi	blackbear	3781967	34	8	30	-7
42	6kex4EBAj0WHXDKZMEJaaF	Swalla (feat. Nicki Minaj & Ty Dolla $ign)	Jason Derulo	3643954	42	11	35	0
43	3kxfsdsCpFgN412fpnW85Y	Redbone	Childish Gambino	3582414	50	20	29	7
44	0tKcYR2II1VCQWT79i5NrW	Thunder	Imagine Dragons	3580261	64	3	44	20
45	7cGFbx7MP0H23iHZTZpqMM	Everybody	Logic	3497945	26	7	26	-19
46	51PIvodunv6NmX5250zxAh	The Cure	Lady Gaga	3493916	44	5	44	-2
47	6UjfByV1lDLW0SOVQA4NAi	Gyalchester	Drake	3434703	39	9	6	-8
48	343YBumqHu19cGoGARUTsd	Fake Love	Drake	3412765	41	20	2	-7
49	2Ce5IyMlVRVvN997ZJjJJA	Selfish (feat. Rihanna)	Future	3330344	46	12	24	-3
50	6mapJIPnQ23RTAevUoE0DL	Swang	Rae Sremmurd	3242604	47	20	23	-3
51	4aWmUDTfIPGksMNLV2rQP2	Despacito (Featuring Daddy Yankee)	Luis Fonsi	3237879	49	17	43	-2
52	167NczpNbRF7oWakJaY3Hh	Slow Hands	Niall Horan	3207497	51	2	51	-1
53	6mORGLOz79w6VsCRLWYYuK	The Night We Met	Lord Huron	3120497	48	6	48	-5
54	5kRPPEWFJIMox5qIkQkiz5	Sweet Creature	Harry Styles	3045388	108	2	54	54
55	59J5nzL1KniFHnU120dQzt	wokeuplikethis*	Playboi Carti	2988430	67	5	55	12
56	1louJpMmzEicAn7lzDalPW	No Promises (feat. Demi Lovato)	Cheat Codes	2917178	57	7	56	1
57	5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	2860406	54	20	15	-3
58	4iYRa2btalAzPZoSYfROqF	XXX. FEAT. U2.	Kendrick Lamar	2841445	43	5	8	-15
59	3Dwq1oiOFys6Sxr5SslmXw	Carolina	Harry Styles	2799308	nan	1	59	new
60	0CcQNd8CINkwQfe1RDtGV6	Believer	Imagine Dragons	2760899	60	15	27	0
61	1x5sYLZiu9r5E43kMlt9f8	Symphony (feat. Zara Larsson)	Clean Bandit	2627397	70	9	48	9
62	2mfUa8bLs2s5N4VaqJZ4lZ	Most Girls	Hailee Steinfeld	2609266	84	3	62	22
63	0pSBuHjILhNEo55xK1zrRt	Rolex	Ayo & Teo	2582704	62	15	37	-1
64	1Eck97uRMlprKOOJN9oO1E	Good Life (with G-Eazy & Kehlani)	G-Eazy	2576360	65	7	53	1
65	7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers	2529740	69	20	4	4
66	72jbDTw1piOOj770jWNeaG	Paris	The Chainsmokers	2506338	66	18	4	0
67	1NDxZ7cFAo481dtYWdrUnR	Pretty Girl - Cheat Codes X CADE Remix	Maggie Lindemann	2486122	76	7	67	9
68	3ebXMykcMXOcLeJ9xZ17XH	Scared to Be Lonely	Martin Garrix	2478158	75	16	20	7
69	4BHSjbYylfOH5WAGusDyni	YAH.	Kendrick Lamar	2460168	52	5	7	-17
70	5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd	2432025	73	20	3	3
71	5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd	2337339	77	20	10	6
72	3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN	2299096	79	20	3	7
73	7yyRTcZmCiyzzJlNzGC9Ol	Broccoli (feat. Lil Yachty)	DRAM	2267901	83	20	11	10
74	06FCvd7rrRcF3DdvWH5Isp	LUST.	Kendrick Lamar	2260960	63	5	12	-11
75	4cxMGhkinTocPSVVKWIw0d	Losin Control	Russ	2249137	82	18	75	7
76	5qbcsZMwL0x46sX7VO37Ye	Up	NAV	2247659	80	5	74	4
77	4Q5yMlwAfAoitqg4r9oZHN	Quit (feat. Ariana Grande)	Cashmere Cat	2246085	112	3	77	35
78	6IZvVAP7VPPnsGX6bvgkqg	PRIDE.	Kendrick Lamar	2230507	61	5	10	-17
79	5NNlUMcOEOdoOIwwaWXv0k	Cold	Maroon 5	2211470	74	13	25	-5
80	76Y0gxtTxN0FyDCYh5qYQj	Get Right Witcha	Migos	2208500	86	16	33	6
81	77lGafvlU68CeHgB2pkHC9	At My Best (feat. Hailee Steinfeld)	Machine Gun Kelly	2163361	113	9	81	32
82	4u9Y4Z9i9VaAbBK7rW1Rha	Meet Me in the Hallway	Harry Styles	2159025	nan	1	82	new
83	2LTlO3NuNVN70lp2ZbVswF	FEEL.	Kendrick Lamar	2139664	68	5	9	-15
84	78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	2131292	78	20	24	-6
85	0v9Wz8o0BT8DU38R4ddjeH	No Problem (feat. Lil Wayne & 2 Chainz)	Chance the Rapper	2128675	88	20	24	3
86	4ZJPwET9Jrgpkqi4Vo3Yg8	Bad Bitch (feat. Ty Dolla $ign)	Bebe Rexha	2107048	96	6	80	10
87	3QWjljChcOMkRDYSzF33Qr	Whippin (feat. Felix Snow)	Kiiara	2105492	94	3	87	7
88	4B1rpPmQXwj78wk6aIGwwU	Two Ghosts	Harry Styles	2066598	nan	1	88	new
89	1xznGGDReH1oQq0xzbwXa3	One Dance	Drake	2060301	89	20	13	0
90	6eT7xZZlB2mwyzJ2sUKG6w	White Iverson	Post Malone	2057811	99	20	77	9
91	7BKUWh5sdtdS17crohRe4L	Black SpiderMan	Logic	2026429	45	5	45	-46
92	5GFDrUTLGJix84sNhjCG0g	Caroline	Aminé	2015329	93	20	6	1
93	33bURv895AN4FkBvgFo2dx	Woman	Harry Styles	2006511	nan	1	93	new
94	0wfbD5rAksdXUzRvMfM3x5	The One	The Chainsmokers	2001088	90	8	18	-4
95	000xQL6tZNLJzIrtIgxqSl	Still Got Time	ZAYN	1993683	92	8	62	-3
96	5LABCxgmP7DATATIJXOh6n	Ever Since New York	Harry Styles	1970199	nan	1	96	new
97	33SNO8AaciGbNaQFkxvPrW	Kiwi	Harry Styles	1965666	nan	1	97	new
98	6fwdbPMwP1zVStm8FybmkO	X (feat. Future)	21 Savage	1960804	97	20	17	-1
99	2ANLarE8yHVsLWW21nj79M	You Was Right	Lil Uzi Vert	1960342	101	20	28	2
100	4IWAyPf1KMq7JCyGeCjTeH	Whatever It Takes	Imagine Dragons	1953789	nan	1	100	new
101	5p3NP9mQblDsVJLdfNZJ3I	GOD.	Kendrick Lamar	1950090	85	5	19	-16
102	3muBQDekYAg7jm6hDu6R0Z	First Day Out	Tee Grizzley	1920748	103	14	83	1
103	0Fv5N0cHBsl4bzCbollCAS	Moves	Big Sean	1920198	100	20	10	-3
104	6XOYVSmNDjKUNMXooU4s4z	No Vacancy	OneRepublic	1908332	nan	1	104	new
105	0B8QzDH7YWih85V5SEMnyJ	Money Longer	Lil Uzi Vert	1886238	118	20	73	13
106	6b8Be6ljOzmkOmFslEb23P	24K Magic	Bruno Mars	1880198	104	20	14	-2
107	5Lbsc65org0b85kNsPkluY	Only Angel	Harry Styles	1870484	nan	1	107	new
108	61WbtB6ujkpNAsAf5LjF4b	Bon appétit	Katy Perry	1823586	105	3	57	-3
109	5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	1810156	107	20	32	-2
110	2NyrXRn4tancYPW6JwtTl2	From The D To The A (feat. Lil Yachty)	Tee Grizzley	1808114	115	9	110	5
111	23luOrEVHMfoX0AhfbQuS6	FEAR.	Kendrick Lamar	1807784	87	5	15	-24
112	20dP2DaMHIAmwWAbp7peSr	pick up the phone	Young Thug	1789726	106	20	44	-6
113	1IF5UcqRO42D12vYwceOY6	From the Dining Table	Harry Styles	1785933	nan	1	113	new
114	6cPyTS0Kk2sc4xQwC93kOg	Break Up Every Night	The Chainsmokers	1772858	110	6	34	-4
115	05nbZ1xxVNwUTcGwLbp7CN	Myself	NAV	1762031	117	3	115	2
116	6fujklziTHa8uoM5OQSfIo	Black Beatles	Rae Sremmurd	1751254	116	20	5	0
117	0w5Bdu51Ka25Pf3hojsKHh	Hard Times	Paramore	1748109	nan	3	81	re-enter
118	5hx4FpDZOnDVYlyoG3rMks	Peek A Boo	Lil Yachty	1744163	111	5	73	-7
119	5yuShbu70mtHXY0yLzCQLQ	Go Flex	Post Malone	1734651	130	20	113	11
120	0afhq8XCExXpqazXczTSve	Galway Girl	Ed Sheeran	1733108	102	11	7	-18
121	3VCYe6mCXebBgcfzaxCVNI	Both (feat. Drake & Lil Wayne) - Remix	Gucci Mane	1723310	121	3	121	0
122	6n3HGiq4v35D6eFOSwqYuo	Teenage Fever	Drake	1717452	114	9	14	-8
123	0y9uTzK9cNKSAEHnpeRG8C	DUCKWORTH.	Kendrick Lamar	1713326	95	5	20	-28
124	7EiZI6JVHllARrX9PUvAdX	Low Life (feat. The Weeknd)	Future	1712691	123	20	59	-1
125	3pndPhlQWjuSoXhcIIdBjv	What They Want	Russ	1710761	120	20	120	-5
126	2wf9bp4MkChojtljddWpbO	PRBLMS	6LACK	1695992	124	15	107	-2
127	5tFep7dXGd7vEJ668wTPux	Both (feat. Drake)	Gucci Mane	1693530	122	20	38	-5
128	5Z3GHaZ6ec9bsiI5BenrbY	Young Dumb & Broke	Khalid	1689679	139	6	128	11
129	0FuTx2s3YH1ppmtiM6l0zI	September Song	JP Cooper	1683072	132	11	86	3
130	62vpWI1CHwFy7tMIcSStl8	No Role Modelz	J. Cole	1672469	127	20	71	-3
131	05KOgYg8PGeJyyWBPi5ja8	Free Smoke	Drake	1660655	119	9	4	-12
132	6xHI9KjUjYT0FPtGO8Mxa1	Hurricane	Luke Combs	1653809	131	10	130	-1
133	1qOLh0tI7trd1zdDKxYZTe	Starving	Hailee Steinfeld	1643111	129	20	18	-4
134	5Ua3GXyHwiSfpNTMjq6m2z	Touch	Little Mix	1638504	128	7	96	-6
135	0utlOiJy2weVl9WTkcEWHy	Neighbors	J. Cole	1631257	141	18	37	6
136	3Jrs7cC2OJNlNSy9VnDOMZ	Somethin Tells Me	Bryson Tiller	1621150	nan	1	136	new
137	5pvVAwQbuFoR7LkcicrKnk	Obsession (feat. Jon Bellion)	Vice	1619873	126	7	92	-11
138	2aksifNn5ph8igDOkPBA02	Love On The Brain	Rihanna	1615939	125	20	39	-13
139	2KvHC9z14GSl4YpkNMX384	Do Not Disturb	Drake	1607920	134	9	30	-5
140	1PSBzsahR2AKwLJgx8ehBj	Bad Things (with Camila Cabello)	Machine Gun Kelly	1586901	167	20	9	27
141	4sxLB4ibrNZko2Y9wHfwZ3	Get Mine	Bryson Tiller	1562395	nan	1	141	new
142	6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	1562146	135	19	4	-7
143	0ESJlaM8CE1jRWaNtwSNj8	beibs in the trap	Travis Scott	1558148	140	19	126	-3
144	5uDASfU19gDxSjW8cnCaBp	Chill Bill (feat. J. Davi$ & Spooks)	Rob $tone	1558125	137	20	19	-7
145	2XlHu0HcujBCkWMdIAvrqt	Blem	Drake	1543969	136	9	8	-9
146	4f1QbCjIAgQwnf7ms9NXWx	Me You	Russ	1523832	138	2	138	-8
147	10M2Ex445zw585Ducldzkw	In Case You Didn't Know	Brett Young	1513844	150	8	147	3
148	0QsvXIfqM0zZoerQfsI9lm	Don't Let Me Down	The Chainsmokers	1509572	143	20	43	-5
149	0q75NwOoFiARAVp4EXU4Bs	Love Galore (feat. Travis Scott)	SZA	1507772	148	3	101	-1
150	0qYTZCo5Bwh1nsUFGZP3zn	Felices los 4	Maluma	1500006	163	2	150	13
151	248OFOZef6ShXv6DGgbnxU	Saved	Khalid	1497864	159	11	137	8
152	3pXF1nA74528Edde4of9CC	Don't	Bryson Tiller	1488059	158	20	82	6
153	1n4jwRVXdkK2U34nBDUKKT	BLOOD.	Kendrick Lamar	1484214	109	5	13	-44
154	43PuMrRfbyyuz4QpZ3oAwN	Exchange	Bryson Tiller	1475284	165	20	84	11
155	6OQea06z3cbOqYgG2O6eOZ	Killing Spree	Logic	1456521	53	2	53	-102
156	5hYTyyh2odQKphUbMqc5gN	"How Far I'll Go - From ""Moana"""	Alessia Cara	1441636	144	20	20	-12
157	4gmmRb6bZJffOOiww1JGTO	No Heart	21 Savage	1433313	149	20	20	-8
158	5de7ci7TFqbQ1PFgKAD7MR	Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)	PnB Rock	1428181	154	4	154	-4
159	60xaS8mYBKUW4VQQ666N0T	All Night (feat. Knox Fortune)	Chance the Rapper	1424942	142	14	47	-17
160	3E2Zh20GDCR9B1EYjfXWyv	Weak	AJR	1421300	153	20	30	-7
161	07pJdL0L9XDGW0HBj0rIS2	Skateboard P (feat. Big Sean)	MadeinTYO	1418198	160	8	160	-1
162	2xbI8Vmyv3TkpTdywpPyNw	Selfish	PnB Rock	1417525	146	20	47	-16
163	0bXFIF7iL17TYLyx8JHziM	Patty Cake	Kodak Black	1404736	162	7	139	-1
164	4F7A0DXBrmUAkp32uenhZt	Party Monster	The Weeknd	1401921	152	20	22	-12
165	4PzovBqgnSHKd8opsP7IVM	Everyday We Lit (feat. PnB Rock)	YFN Lucci	1401737	133	7	128	-32
166	7BpYWzZwrsljT1eIjb0TqR	Told You So	Paramore	1388873	nan	1	166	new
167	6i0V12jOa3mr6uu4WYhUBr	Heathens	Twenty One Pilots	1378038	157	20	26	-10
168	4uhvMW7ly7tJil31YYscAN	Erase Your Social	Lil Uzi Vert	1358408	176	19	76	8
169	6HN5XPJEV31RQJGoyqZ81K	Take It Back	Logic	1341766	55	2	55	-114
170	4ntsD33Pgsgk8rUyZLLiUV	DEVASTATED	Joey Bada$$	1316838	161	9	79	-9
171	34oWbFBfGEElvgO0a5c9V4	No Flockin'	Kodak Black	1306464	151	20	90	-20
172	0tgVpDi06FyKpA1z0VMD4v	Perfect	Ed Sheeran	1305583	168	11	15	-4
173	1sCxVKWImDZSZKvG0U9B23	Bad Liar	Selena Gomez	1300872	nan	1	173	new
174	0BU7nIcCZxYSE0hYcc5oZz	Too Many Years	Kodak Black	1297193	170	20	64	-4
175	6H0AwSQ20mo62jGlPGB8S6	It's A Vibe	2 Chainz	1296387	190	6	133	15
176	1Tt4sE4pXi57mTD1GCzsqm	Needed Me	Rihanna	1295571	171	20	45	-5
177	6F609ICg9Spjrw1epsAnpa	Controlla	Drake	1288203	187	20	41	10
178	1wZqJM5FGDEl3FjHDxDyQd	Come and See Me (feat. Drake)	PARTYNEXTDOOR	1287702	172	20	81	-6
179	74ABBu8osxqmuFOAKcWWpG	Forgiveness	Paramore	1285902	nan	1	179	new
180	7bJ4mu7MHa3rHiNyKjOoSl	Ice Melts	Drake	1274962	nan	8	34	re-enter
181	4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake	1273181	182	20	12	1
182	5OOkp4U9P9oL23maHFHL1h	Panda	Desiigner	1270544	180	20	54	-2
183	4uoumbAMEMaKdtiv763jKz	TG4M	Zara Larsson	1258733	186	7	145	3
184	5q5gzmbBS5yQzos2BvVr1t	Nights With You	MØ	1249989	nan	1	184	new
185	6I6NX6tjGsxFAsIfGzY9lJ	Deja Vu	J. Cole	1248173	175	20	16	-10
186	4IWGnyOHDrVZEtPWfs4s7q	Do What I Want	Lil Uzi Vert	1245465	196	7	166	10
187	0xl1w2q4VLojeXp4JfazPL	Sacrifices	Drake	1241500	169	9	12	-18
188	4pLwZjInHj3SimIyN9SnOz	Side To Side	Ariana Grande	1239922	183	20	24	-5
189	7KcGEssn7BnJdTgildK5y0	No Frauds	Nicki Minaj	1235593	185	10	22	-4
190	04DwTuZ2VBdJCCC5TROn7L	In the Name of Love	Martin Garrix	1234619	184	20	20	-6
191	2RJfK2pOvGpnxC255YOy5k	Rose-Colored Boy	Paramore	1234279	nan	1	191	new
192	3mRcWCyteY2133a7xVMrYw	Comin Out Strong (feat. The Weeknd)	Future	1231417	174	12	22	-18
193	05Z7jet4VDNVgNQWcYHnrk	Party	Chris Brown	1223557	188	20	117	-5
194	4dASQiO1Eoo3RJvt74FtXB	Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)	Lil Wayne	1221807	191	20	61	-3
195	7zxRMhXxJMQCeDDg0rKAVo	Some Way	NAV	1216437	194	10	87	-1
196	6JV2JOEocMgcZxYSZelKcc	"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"	Justin Timberlake	1215850	193	20	56	-3
197	7f08qp3HROTkfrtNpiYGGo	Dirt On My Boots	Jon Pardi	1215305	189	13	157	-8
198	2Z8WuEywRWYTKe1NybPQEW	Ride	Twenty One Pilots	1211275	197	20	65	-1
199	4lozYCMRLtEc46exlhoK2Q	I'm so Groovy	Future	1211084	nan	4	59	re-enter
200	7uuBfgY1vBCalrQRyyQhqs	Gospel	Rich Brian	1195831	nan	1	200	new
